307.000000 350.000000 318.000000	   304.000000 302.000000
163.000000 89.000000 98.000000	   231.000000 200.000000
140.000000 232.000000 225.000000	   305.000000 302.000000
351.000000 318.000000 350.000000	   351.000000 267.000000
360.000000 89.000000 86.000000	   98.000000 121.000000
183.000000 350.000000 141.000000	   260.000000 105.000000
105.000000 85.000000 91.000000	   151.000000 173.000000
173.000000 151.000000 98.000000	   89.000000 98.000000
86.000000 151.000000 140.000000	   151.000000 225.000000
97.000000 134.000000 120.000000	   119.000000 108.000000
86.000000 156.000000 85.000000	   90.000000 90.000000
121.000000 146.000000 91.000000	   97.000000 89.000000
168.000000 70.000000 122.000000	   107.000000 135.000000
151.000000 156.000000 173.000000	   135.000000 79.000000
86.000000 81.000000 97.000000	   85.000000 89.000000
91.000000 105.000000 98.000000	   98.000000 105.000000
107.000000 108.000000 119.000000	   120.000000 141.000000
145.000000 168.000000 146.000000	   231.000000 350.000000
200.000000 225.000000 112.000000	   112.000000 112.000000
112.000000 135.000000 151.000000	   140.000000 105.000000
91.000000 91.000000 105.000000	   98.000000 120.000000
107.000000 108.000000 91.000000	   91.000000 91.000000
181.000000 262.000000 156.000000	   232.000000 144.000000
135.000000 151.000000 140.000000	   97.000000 135.000000
120.000000 119.000000 130.000000	   165.000000 150.000000
150.000000 140.000000 198.000000	   220.000000 215.000000
225.000000 190.000000 170.000000	   160.000000 150.000000
225.000000 95.000000 95.000000	   97.000000 85.000000
88.000000 46.000000 87.000000	   90.000000 95.000000
113.000000 90.000000 215.000000	   200.000000 210.000000
193.000000 88.000000 90.000000	   95.000000 100.000000
105.000000 100.000000 88.000000	   100.000000 165.000000
175.000000 153.000000 150.000000	   180.000000 170.000000
175.000000 110.000000 72.000000	   100.000000 88.000000
86.000000 90.000000 70.000000	   76.000000 65.000000
69.000000 60.000000 70.000000	   95.000000 80.000000
54.000000 90.000000 86.000000	   165.000000 175.000000
150.000000 153.000000 150.000000	   208.000000 155.000000
160.000000 190.000000 97.000000	   150.000000 130.000000
140.000000 150.000000 112.000000	   76.000000 87.000000
69.000000 86.000000 92.000000	   97.000000 80.000000
88.000000 175.000000 150.000000	   145.000000 137.000000
150.000000 198.000000 150.000000	   158.000000 150.000000
215.000000 225.000000 175.000000	   105.000000 100.000000
100.000000 88.000000 95.000000	   46.000000 150.000000
167.000000 170.000000 180.000000	   100.000000 88.000000
72.000000 94.000000 90.000000	   85.000000 107.000000
90.000000 145.000000 230.000000	   49.000000 75.000000
91.000000 112.000000 150.000000	   110.000000 122.000000
180.000000 95.000000 100.000000	   100.000000 67.000000
80.000000 65.000000 75.000000	   100.000000 110.000000
105.000000 140.000000 150.000000	   150.000000 140.000000
150.000000 83.000000 67.000000	   78.000000 52.000000
61.000000 75.000000 75.000000	   75.000000 97.000000
93.000000 67.000000 95.000000	   105.000000 72.000000
72.000000 170.000000 145.000000	   150.000000 148.000000
110.000000 105.000000 110.000000	   95.000000 110.000000
110.000000 129.000000 75.000000	   83.000000 100.000000
78.000000 96.000000 71.000000	   97.000000 97.000000
70.000000 90.000000 95.000000	   88.000000 98.000000
115.000000 53.000000 86.000000	   81.000000 92.000000
79.000000 83.000000 140.000000	   150.000000 120.000000
152.000000 100.000000 105.000000	   81.000000 90.000000
52.000000 60.000000 70.000000	   53.000000 100.000000
78.000000 110.000000 95.000000	   71.000000 70.000000
75.000000 72.000000 102.000000	   150.000000 88.000000
108.000000 120.000000 180.000000	   145.000000 130.000000
150.000000 68.000000 80.000000	   58.000000 96.000000
70.000000 145.000000 110.000000	   145.000000 130.000000
110.000000 105.000000 100.000000	   98.000000 180.000000
170.000000 190.000000 149.000000	   78.000000 88.000000
75.000000 89.000000 63.000000	   83.000000 67.000000
78.000000 97.000000 110.000000	   110.000000 48.000000
66.000000 52.000000 70.000000	   60.000000 110.000000
140.000000 139.000000 105.000000	   95.000000 85.000000
88.000000 100.000000 90.000000	   105.000000 85.000000
110.000000 120.000000 145.000000	   165.000000 139.000000
140.000000 68.000000 95.000000	   97.000000 75.000000
95.000000 105.000000 85.000000	   97.000000 103.000000
125.000000 115.000000 133.000000	   71.000000 68.000000
115.000000 85.000000 88.000000	   90.000000 110.000000
130.000000 129.000000 138.000000	   135.000000 155.000000
142.000000 125.000000 150.000000	   71.000000 65.000000
80.000000 80.000000 77.000000	   125.000000 71.000000
90.000000 70.000000 70.000000	   65.000000 69.000000
90.000000 115.000000 115.000000	   90.000000 76.000000
60.000000 70.000000 65.000000	   90.000000 88.000000
90.000000 90.000000 78.000000	   90.000000 75.000000
92.000000 75.000000 65.000000	   105.000000 65.000000
48.000000 48.000000 67.000000	   67.000000 67.000000
67.000000 62.000000 132.000000	   100.000000 88.000000
72.000000 84.000000 84.000000	   92.000000 110.000000
84.000000 58.000000 64.000000	   60.000000 67.000000
65.000000 62.000000 68.000000	   63.000000 65.000000
65.000000 74.000000 75.000000	   75.000000 100.000000
74.000000 80.000000 76.000000	   116.000000 120.000000
110.000000 105.000000 88.000000	   85.000000 88.000000
88.000000 88.000000 85.000000	   84.000000 90.000000
92.000000 74.000000 68.000000	   68.000000 63.000000
70.000000 88.000000 75.000000	   70.000000 67.000000
67.000000 67.000000 110.000000	   85.000000 92.000000
112.000000 96.000000 84.000000	   90.000000 86.000000
52.000000 84.000000 79.000000	   82.000000 3504.000000
3693.000000 3436.000000 3433.000000	   3449.000000 4341.000000
4354.000000 4312.000000 4425.000000	   3850.000000 3563.000000
3609.000000 3761.000000 3086.000000	   2372.000000 2833.000000
2774.000000 2587.000000 2130.000000	   1835.000000 2672.000000
2430.000000 2375.000000 2234.000000	   2648.000000 4615.000000
4376.000000 4382.000000 4732.000000	   2130.000000 2264.000000
2228.000000 2634.000000 3439.000000	   3329.000000 3302.000000
3288.000000 4209.000000 4464.000000	   4154.000000 4096.000000
4955.000000 4746.000000 5140.000000	   2962.000000 2408.000000
3282.000000 3139.000000 2220.000000	   2123.000000 2074.000000
2065.000000 1773.000000 1613.000000	   1834.000000 1955.000000
2278.000000 2126.000000 2254.000000	   2408.000000 2226.000000
4274.000000 4385.000000 4135.000000	   4129.000000 3672.000000
4633.000000 4502.000000 4456.000000	   4422.000000 2330.000000
3892.000000 4098.000000 4294.000000	   4077.000000 2933.000000
2511.000000 2979.000000 2189.000000	   2395.000000 2288.000000
2506.000000 2164.000000 2100.000000	   4100.000000 3672.000000
3988.000000 4042.000000 3777.000000	   4952.000000 4464.000000
4363.000000 4237.000000 4735.000000	   4951.000000 3821.000000
3121.000000 3278.000000 2945.000000	   3021.000000 2904.000000
1950.000000 4997.000000 4906.000000	   4654.000000 4499.000000
2789.000000 2279.000000 2401.000000	   2379.000000 2124.000000
2310.000000 2472.000000 2265.000000	   4082.000000 4278.000000
1867.000000 2158.000000 2582.000000	   2868.000000 3399.000000
2660.000000 2807.000000 3664.000000	   3102.000000 2901.000000
3336.000000 1950.000000 2451.000000	   1836.000000 2542.000000
3781.000000 3632.000000 3613.000000	   4141.000000 4699.000000
4457.000000 4638.000000 4257.000000	   2219.000000 1963.000000
2300.000000 1649.000000 2003.000000	   2125.000000 2108.000000
2246.000000 2489.000000 2391.000000	   2000.000000 3264.000000
3459.000000 3432.000000 3158.000000	   4668.000000 4440.000000
4498.000000 4657.000000 3907.000000	   3897.000000 3730.000000
3785.000000 3039.000000 3221.000000	   3169.000000 2171.000000
2639.000000 2914.000000 2592.000000	   2702.000000 2223.000000
2545.000000 2984.000000 1937.000000	   3211.000000 2694.000000
2957.000000 2945.000000 2671.000000	   1795.000000 2464.000000
2220.000000 2572.000000 2255.000000	   2202.000000 4215.000000
4190.000000 3962.000000 4215.000000	   3233.000000 3353.000000
3012.000000 3085.000000 2035.000000	   2164.000000 1937.000000
1795.000000 3651.000000 3574.000000	   3645.000000 3193.000000
1825.000000 1990.000000 2155.000000	   2565.000000 3150.000000
3940.000000 3270.000000 2930.000000	   3820.000000 4380.000000
4055.000000 3870.000000 3755.000000	   2045.000000 2155.000000
1825.000000 2300.000000 1945.000000	   3880.000000 4060.000000
4140.000000 4295.000000 3520.000000	   3425.000000 3630.000000
3525.000000 4220.000000 4165.000000	   4325.000000 4335.000000
1940.000000 2740.000000 2265.000000	   2755.000000 2051.000000
2075.000000 1985.000000 2190.000000	   2815.000000 2600.000000
2720.000000 1985.000000 1800.000000	   1985.000000 2070.000000
1800.000000 3365.000000 3735.000000	   3570.000000 3535.000000
3155.000000 2965.000000 2720.000000	   3430.000000 3210.000000
3380.000000 3070.000000 3620.000000	   3410.000000 3425.000000
3445.000000 3205.000000 4080.000000	   2155.000000 2560.000000
2300.000000 2230.000000 2515.000000	   2745.000000 2855.000000
2405.000000 2830.000000 3140.000000	   2795.000000 3410.000000
1990.000000 2135.000000 3245.000000	   2990.000000 2890.000000
3265.000000 3360.000000 3840.000000	   3725.000000 3955.000000
3830.000000 4360.000000 4054.000000	   3605.000000 3940.000000
1925.000000 1975.000000 1915.000000	   2670.000000 3530.000000
3900.000000 3190.000000 3420.000000	   2200.000000 2150.000000
2020.000000 2130.000000 2670.000000	   2595.000000 2700.000000
2556.000000 2144.000000 1968.000000	   2120.000000 2019.000000
2678.000000 2870.000000 3003.000000	   3381.000000 2188.000000
2711.000000 2542.000000 2434.000000	   2265.000000 2110.000000
2800.000000 2110.000000 2085.000000	   2335.000000 2950.000000
3250.000000 1850.000000 2145.000000	   1845.000000 2910.000000
2420.000000 2500.000000 2290.000000	   2490.000000 2635.000000
2620.000000 2725.000000 2385.000000	   1755.000000 1875.000000
1760.000000 2065.000000 1975.000000	   2050.000000 1985.000000
2215.000000 2045.000000 2380.000000	   2190.000000 2210.000000
2350.000000 2615.000000 2635.000000	   3230.000000 3160.000000
2900.000000 2930.000000 3415.000000	   3725.000000 3060.000000
3465.000000 2605.000000 2640.000000	   2395.000000 2575.000000
2525.000000 2735.000000 2865.000000	   1980.000000 2025.000000
1970.000000 2125.000000 2125.000000	   2160.000000 2205.000000
2245.000000 1965.000000 1965.000000	   1995.000000 2945.000000
3015.000000 2585.000000 2835.000000	   2665.000000 2370.000000
2950.000000 2790.000000 2130.000000	   2295.000000 2625.000000
2720.000000 18.000000 15.000000	   18.000000 16.000000
17.000000 15.000000 14.000000	   14.000000 14.000000
15.000000 15.000000 14.000000	   15.000000 14.000000
24.000000 22.000000 18.000000	   21.000000 27.000000
26.000000 25.000000 24.000000	   25.000000 26.000000
21.000000 10.000000 10.000000	   11.000000 9.000000
27.000000 28.000000 25.000000	   19.000000 16.000000
17.000000 19.000000 18.000000	   14.000000 14.000000
14.000000 14.000000 12.000000	   13.000000 13.000000
18.000000 22.000000 19.000000	   18.000000 23.000000
28.000000 30.000000 30.000000	   31.000000 35.000000
27.000000 26.000000 24.000000	   25.000000 23.000000
20.000000 21.000000 13.000000	   14.000000 15.000000
14.000000 17.000000 11.000000	   13.000000 12.000000
13.000000 19.000000 15.000000	   13.000000 13.000000
14.000000 18.000000 22.000000	   21.000000 26.000000
22.000000 28.000000 23.000000	   28.000000 27.000000
13.000000 14.000000 13.000000	   14.000000 15.000000
12.000000 13.000000 13.000000	   14.000000 13.000000
12.000000 13.000000 18.000000	   16.000000 18.000000
18.000000 23.000000 26.000000	   11.000000 12.000000
13.000000 12.000000 18.000000	   20.000000 21.000000
22.000000 18.000000 19.000000	   21.000000 26.000000
15.000000 16.000000 29.000000	   24.000000 20.000000
19.000000 15.000000 24.000000	   20.000000 11.000000
20.000000 19.000000 15.000000	   31.000000 26.000000
32.000000 25.000000 16.000000	   16.000000 18.000000
16.000000 13.000000 14.000000	   14.000000 14.000000
29.000000 26.000000 26.000000	   31.000000 32.000000
28.000000 24.000000 26.000000	   24.000000 26.000000
31.000000 19.000000 18.000000	   15.000000 15.000000
16.000000 15.000000 16.000000	   14.000000 17.000000
16.000000 15.000000 18.000000	   21.000000 20.000000
13.000000 29.000000 23.000000	   20.000000 23.000000
24.000000 25.000000 24.000000	   18.000000 29.000000
19.000000 23.000000 23.000000	   22.000000 25.000000
33.000000 28.000000 25.000000	   25.000000 26.000000
27.000000 17.500000 16.000000	   15.500000 14.500000
22.000000 22.000000 24.000000	   22.500000 29.000000
24.500000 29.000000 33.000000	   20.000000 18.000000
18.500000 17.500000 29.500000	   32.000000 28.000000
26.500000 20.000000 13.000000	   19.000000 19.000000
16.500000 16.500000 13.000000	   13.000000 13.000000
31.500000 30.000000 36.000000	   25.500000 33.500000
17.500000 17.000000 15.500000	   15.000000 17.500000
20.500000 19.000000 18.500000	   16.000000 15.500000
15.500000 16.000000 29.000000	   24.500000 26.000000
25.500000 30.500000 33.500000	   30.000000 30.500000
22.000000 21.500000 21.500000	   43.100000 36.100000
32.800000 39.400000 36.100000	   19.900000 19.400000
20.200000 19.200000 20.500000	   20.200000 25.100000
20.500000 19.400000 20.600000	   20.800000 18.600000
18.100000 19.200000 17.700000	   18.100000 17.500000
30.000000 27.500000 27.200000	   30.900000 21.100000
23.200000 23.800000 23.900000	   20.300000 17.000000
21.600000 16.200000 31.500000	   29.500000 21.500000
19.800000 22.300000 20.200000	   20.600000 17.000000
17.600000 16.500000 18.200000	   16.900000 15.500000
19.200000 18.500000 31.900000	   34.100000 35.700000
27.400000 25.400000 23.000000	   27.200000 23.900000
34.200000 34.500000 31.800000	   37.300000 28.400000
28.800000 26.800000 33.500000	   41.500000 38.100000
32.100000 37.200000 28.000000	   26.400000 24.300000
19.100000 34.300000 29.800000	   31.300000 37.000000
32.200000 46.600000 27.900000	   40.800000 44.300000
43.400000 36.400000 30.000000	   44.600000 33.800000
29.800000 32.700000 23.700000	   35.000000 32.400000
27.200000 26.600000 25.800000	   23.500000 30.000000
39.100000 39.000000 35.100000	   32.300000 37.000000
37.700000 34.100000 34.700000	   34.400000 29.900000
33.000000 33.700000 32.400000	   32.900000 31.600000
28.100000 30.700000 25.400000	   24.200000 22.400000
26.600000 20.200000 17.600000	   28.000000 27.000000
34.000000 31.000000 29.000000	   27.000000 24.000000
36.000000 37.000000 31.000000	   38.000000 36.000000
36.000000 36.000000 34.000000	   38.000000 32.000000
38.000000 25.000000 38.000000	   26.000000 22.000000
32.000000 36.000000 27.000000	   27.000000 44.000000
32.000000 28.000000 31.000000	   12.000000 11.500000
11.000000 12.000000 10.500000	   10.000000 9.000000
8.500000 10.000000 8.500000	   10.000000 8.000000
9.500000 10.000000 15.000000	   15.500000 15.500000
16.000000 14.500000 20.500000	   17.500000 14.500000
17.500000 12.500000 15.000000	   14.000000 15.000000
13.500000 18.500000 14.500000	   15.500000 14.000000
13.000000 15.500000 15.500000	   15.500000 15.500000
12.000000 11.500000 13.500000	   13.000000 11.500000
12.000000 12.000000 13.500000	   19.000000 15.000000
14.500000 14.000000 14.000000	   19.500000 14.500000
19.000000 18.000000 19.000000	   20.500000 15.500000
17.000000 23.500000 19.500000	   16.500000 12.000000
12.000000 13.500000 13.000000	   11.500000 11.000000
13.500000 13.500000 12.500000	   13.500000 12.500000
14.000000 16.000000 14.000000	   14.500000 18.000000
19.500000 18.000000 16.000000	   17.000000 14.500000
15.000000 16.500000 13.000000	   11.500000 13.000000
14.500000 12.500000 11.500000	   12.000000 13.000000
14.500000 11.000000 11.000000	   11.000000 16.500000
18.000000 16.000000 16.500000	   16.000000 21.000000
14.000000 12.500000 13.000000	   12.500000 15.000000
19.000000 19.500000 16.500000	   13.500000 18.500000
14.000000 15.500000 13.000000	   9.500000 19.500000
15.500000 14.000000 15.500000	   11.000000 14.000000
13.500000 11.000000 16.500000	   16.000000 17.000000
19.000000 16.500000 21.000000	   17.000000 17.000000
18.000000 16.500000 14.000000	   14.500000 13.500000
16.000000 15.500000 16.500000	   15.500000 14.500000
16.500000 19.000000 14.500000	   15.500000 14.000000
15.000000 15.500000 16.000000	   16.000000 16.000000
21.000000 19.500000 11.500000	   14.000000 14.500000
13.500000 21.000000 18.500000	   19.000000 19.000000
15.000000 13.500000 12.000000	   16.000000 17.000000
16.000000 18.500000 13.500000	   16.500000 17.000000
14.500000 14.000000 17.000000	   15.000000 17.000000
14.500000 13.500000 17.500000	   15.500000 16.900000
14.900000 17.700000 15.300000	   13.000000 13.000000
13.900000 12.800000 15.400000	   14.500000 17.600000
17.600000 22.200000 22.100000	   14.200000 17.400000
17.700000 21.000000 16.200000	   17.800000 12.200000
17.000000 16.400000 13.600000	   15.700000 13.200000
21.900000 15.500000 16.700000	   12.100000 12.000000
15.000000 14.000000 18.500000	   14.800000 18.600000
15.500000 16.800000 12.500000	   19.000000 13.700000
14.900000 16.400000 16.900000	   17.700000 19.000000
11.100000 11.400000 12.200000	   14.500000 14.500000
16.000000 18.200000 15.800000	   17.000000 15.900000
16.400000 14.100000 14.500000	   12.800000 13.500000
21.500000 14.400000 19.400000	   18.600000 16.400000
15.500000 13.200000 12.800000	   19.200000 18.200000
15.800000 15.400000 17.200000	   17.200000 15.800000
16.700000 18.700000 15.100000	   13.200000 13.400000
11.200000 13.700000 16.500000	   14.200000 14.700000
14.500000 14.800000 16.700000	   17.600000 14.900000
15.900000 13.600000 15.700000	   15.800000 14.900000
16.600000 15.400000 18.200000	   17.300000 18.200000
16.600000 15.400000 13.400000	   13.200000 15.200000
14.900000 14.300000 15.000000	   13.000000 14.000000
15.200000 14.400000 15.000000	   20.100000 17.400000
24.800000 22.200000 13.200000	   14.900000 19.200000
14.700000 16.000000 11.300000	   12.900000 13.200000
14.700000 18.800000 15.500000	   16.400000 16.500000
18.100000 20.100000 18.700000	   15.800000 15.500000
17.500000 15.000000 15.200000	   17.900000 14.400000
19.200000 21.700000 23.700000	   19.900000 21.800000
13.800000 18.000000 15.300000	   11.400000 12.500000
15.100000 17.000000 15.700000	   16.400000 14.400000
12.600000 12.900000 16.900000	   16.400000 16.100000
17.800000 19.400000 17.300000	   16.000000 14.900000
16.200000 20.700000 14.200000	   14.400000 16.800000
14.800000 18.300000 20.400000	   19.600000 12.600000
13.800000 15.800000 19.000000	   17.100000 16.600000
19.600000 18.600000 18.000000	   16.200000 16.000000
18.000000 16.400000 15.300000	   18.200000 17.600000
14.700000 17.300000 14.500000	   14.500000 16.900000
15.000000 15.700000 16.200000	   16.400000 17.000000
14.500000 14.700000 13.900000	   13.000000 17.300000
15.600000 24.600000 11.600000	   18.600000 19.400000
